run_id,act_position,act_id,act_name
1780138064,2,ACT.HIVE,Hive
1780138064,3,ACT.GLORY,Glory
1780097816,1,ACT.UNDERDOCKS,Underdocks
1780097816,2,ACT.HIVE,Hive
1780097816,3,ACT.GLORY,Glory
1780093606,1,ACT.UNDERDOCKS,Underdocks
1780093606,2,ACT.HIVE,Hive
1780093606,3,ACT.GLORY,Glory
1780089985,1,ACT.UNDERDOCKS,Underdocks
1780089985,2,ACT.HIVE,Hive
1780089985,3,ACT.GLORY,Glory
1780084060,1,ACT.OVERGROWTH,Overgrowth
1780084060,2,ACT.HIVE,Hive
1780084060,3,ACT.GLORY,Glory
1780009910,1,ACT.UNDERDOCKS,Underdocks
1780009910,2,ACT.HIVE,Hive
1780009910,3,ACT.GLORY,Glory
1779839177,1,ACT.UNDERDOCKS,Underdocks
1779839177,2,ACT.HIVE,Hive
1779839177,3,ACT.GLORY,Glory
1779836830,1,ACT.UNDERDOCKS,Underdocks
1779836830,2,ACT.HIVE,Hive
1779836830,3,ACT.GLORY,Glory
1779836810,1,ACT.UNDERDOCKS,Underdocks
1779836810,2,ACT.HIVE,Hive
1779836810,3,ACT.GLORY,Glory
1779728092,1,ACT.OVERGROWTH,Overgrowth
1779728092,2,ACT.HIVE,Hive
1779728092,3,ACT.GLORY,Glory
1779725866,1,ACT.UNDERDOCKS,Underdocks
1779725866,2,ACT.HIVE,Hive
1779725866,3,ACT.GLORY,Glory
1779568127,1,ACT.UNDERDOCKS,Underdocks
1779568127,2,ACT.HIVE,Hive
1779568127,3,ACT.GLORY,Glory
1779536512,1,ACT.UNDERDOCKS,Underdocks
1779536512,2,ACT.HIVE,Hive
1779536512,3,ACT.GLORY,Glory
1779485510,1,ACT.UNDERDOCKS,Underdocks
1779485510,2,ACT.HIVE,Hive
1779485510,3,ACT.GLORY,Glory
1779289315,1,ACT.OVERGROWTH,Overgrowth
1779289315,2,ACT.HIVE,Hive
1779289315,3,ACT.GLORY,Glory
1779027840,1,ACT.UNDERDOCKS,Underdocks
1779027840,2,ACT.HIVE,Hive
1779027840,3,ACT.GLORY,Glory
1778959792,1,ACT.OVERGROWTH,Overgrowth
1778959792,2,ACT.HIVE,Hive
1778959792,3,ACT.GLORY,Glory
1778959748,1,ACT.OVERGROWTH,Overgrowth
1778959748,2,ACT.HIVE,Hive
1778959748,3,ACT.GLORY,Glory
1778882821,1,ACT.OVERGROWTH,Overgrowth
1778882821,2,ACT.HIVE,Hive
1778882821,3,ACT.GLORY,Glory
1778882616,1,ACT.UNDERDOCKS,Underdocks
1778882616,2,ACT.HIVE,Hive
1778882616,3,ACT.GLORY,Glory
1778881664,1,ACT.OVERGROWTH,Overgrowth
1778881664,2,ACT.HIVE,Hive
1778881664,3,ACT.GLORY,Glory
1778861615,1,ACT.OVERGROWTH,Overgrowth
1778861615,2,ACT.HIVE,Hive
1778861615,3,ACT.GLORY,Glory
1778858329,1,ACT.OVERGROWTH,Overgrowth
1778858329,2,ACT.HIVE,Hive
1778858329,3,ACT.GLORY,Glory
1778156892,1,ACT.UNDERDOCKS,Underdocks
1778156892,2,ACT.HIVE,Hive
1778156892,3,ACT.GLORY,Glory
1778103252,1,ACT.OVERGROWTH,Overgrowth
1778103252,2,ACT.HIVE,Hive
1778103252,3,ACT.GLORY,Glory
1777933157,1,ACT.OVERGROWTH,Overgrowth
1777933157,2,ACT.HIVE,Hive
1777933157,3,ACT.GLORY,Glory
1777912244,1,ACT.OVERGROWTH,Overgrowth
1777912244,2,ACT.HIVE,Hive
1777912244,3,ACT.GLORY,Glory
1777289417,1,ACT.UNDERDOCKS,Underdocks
1777289417,2,ACT.HIVE,Hive
1777289417,3,ACT.GLORY,Glory
1777287675,1,ACT.UNDERDOCKS,Underdocks
1777287675,2,ACT.HIVE,Hive
1777287675,3,ACT.GLORY,Glory
1777211740,1,ACT.UNDERDOCKS,Underdocks
1777211740,2,ACT.HIVE,Hive
1777211740,3,ACT.GLORY,Glory
1777210949,1,ACT.OVERGROWTH,Overgrowth
1777210949,2,ACT.HIVE,Hive
1777210949,3,ACT.GLORY,Glory
1777166549,1,ACT.UNDERDOCKS,Underdocks
1777166549,2,ACT.HIVE,Hive
1777166549,3,ACT.GLORY,Glory
1777152249,1,ACT.OVERGROWTH,Overgrowth
1777152249,2,ACT.HIVE,Hive
1777152249,3,ACT.GLORY,Glory
1777144157,1,ACT.OVERGROWTH,Overgrowth
1777144157,2,ACT.HIVE,Hive
1777144157,3,ACT.GLORY,Glory
1776985643,1,ACT.OVERGROWTH,Overgrowth
1776985643,2,ACT.HIVE,Hive
1776985643,3,ACT.GLORY,Glory
1776981016,1,ACT.OVERGROWTH,Overgrowth
1776981016,2,ACT.HIVE,Hive
1776981016,3,ACT.GLORY,Glory
