character,runs,wins,avg_run_time_minutes,avg_deck_size,avg_relic_count,avg_floor_count,avg_damage_taken,avg_potions_used,avg_potions_gained,losses,win_rate,win_rate_percent
Silent,27,5,36.48074074074074,25.74074074074074,8.037037037037036,22.962962962962962,127.22222222222223,5.222222222222222,6.296296296296297,22,0.1852,18.52
Regent,23,8,49.99739130434783,30.47826086956522,10.130434782608695,28.695652173913043,147.56521739130434,6.956521739130435,8.26086956521739,15,0.3478,34.78
Necrobinder,22,6,62.223636363636366,28.954545454545453,10.409090909090908,30.136363636363637,138.63636363636363,6.454545454545454,8.272727272727273,16,0.2727,27.27
Defect,4,1,68.66499999999999,27.5,9.5,28.5,158.75,5.75,6.5,3,0.25,25.0
Ironclad,1,0,72.5,22.0,5.0,31.0,323.0,7.0,7.0,1,0.0,0.0
