ascension,runs,wins,avg_run_time_minutes,avg_deck_size,avg_relic_count,avg_floor_count,avg_damage_taken,losses,win_rate,win_rate_percent
0,19,5,61.50842105263158,32.94736842105263,9.526315789473685,29.473684210526315,160.05263157894737,14,0.2632,26.32
1,19,4,47.847368421052636,27.789473684210527,8.842105263157896,24.63157894736842,133.78947368421052,15,0.2105,21.05
2,11,6,56.14636363636364,26.363636363636363,11.181818181818182,28.818181818181817,106.0,5,0.5455,54.55
3,14,4,41.05428571428571,23.428571428571427,8.928571428571429,24.642857142857142,128.07142857142858,10,0.2857,28.57
4,12,1,40.78333333333333,27.75,8.416666666666666,26.75,147.5,11,0.0833,8.33
5,2,0,45.735,30.0,12.0,38.5,262.5,2,0.0,0.0
